Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1717964379,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1717964380,1000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1717964381,1000,,Aggregated,0.000000,0.000000,1000,1200,1300,1300,1300,1300,1300,1400,1400,1400,1400,216,0,1000.0,785.6375266818321,100.45318701304495,1381.9938740052748,178.12962962962962
1717964382,1000,,Aggregated,0.000000,0.000000,390,460,970,1200,1300,1300,1300,1300,2400,2400,2400,471,0,390.0,584.7953870665008,100.45318701304495,2388.4112120140344,178.39065817409767
1717964383,1000,,Aggregated,65.000000,0.000000,460,1000,1300,1300,3200,3300,3400,3400,3400,3400,3400,687,0,460.0,1096.227382883974,100.45318701304495,3407.9851070127916,178.48034934497818
1717964384,1000,,Aggregated,134.333333,0.000000,920,990,1100,1300,3100,3200,3300,3400,3400,3400,3400,931,0,920.0,1064.7240610829244,100.45318701304495,3407.9851070127916,178.52524167561762
1717964385,1000,,Aggregated,158.000000,0.000000,890,960,1000,1200,3000,3200,3300,3400,3900,4000,4000,1164,0,890.0,1034.8847133352115,100.45318701304495,4032.260973996017,178.70017182130584
1717964386,1000,,Aggregated,171.200000,0.000000,840,920,980,1000,2400,3200,3300,3400,4600,4700,4700,1401,0,840.0,1003.3849024112974,100.45318701304495,4704.248246998759,178.86152748037117
1717964387,1000,,Aggregated,179.333333,0.000000,800,900,960,990,1300,3200,3300,3400,5400,5600,5600,1640,0,800.0,970.994185868501,100.45318701304495,5560.731100995326,178.97378048780487
1717964388,1000,,Aggregated,185.571429,0.000000,830,940,1000,1300,4200,8500,8800,8900,9000,9000,9000,1842,0,830.0,1687.2563106728685,100.45318701304495,9030.515348014887,179.03148751357222
1717964389,1000,,Aggregated,190.250000,0.000000,870,980,1300,1600,8300,8800,9200,9300,9400,9400,9400,2011,0,870.0,1929.2159979634284,7.233544980408624,9434.574168990366,179.07110890104425
1717964390,1000,,Aggregated,192.222222,0.000000,890,1200,1500,1600,8200,8800,9200,9300,9400,9400,9400,2185,0,890.0,1897.4205072935508,4.463024990400299,9434.574168990366,179.11762013729978
1717964391,1000,,Aggregated,189.300000,0.000000,910,1200,1400,1600,8200,8700,9100,9300,9400,9400,9400,2361,0,910.0,1850.795605715109,4.463024990400299,9434.574168990366,179.15925455315545
1717964393,1000,,Aggregated,208.000000,0.000000,900,1100,1400,1600,5000,8700,9100,9300,9400,10000,10000,2537,0,900.0,1786.4006491027183,4.463024990400299,10176.100181997754,179.192353173039
1717964394,1000,,Aggregated,195.800000,0.000000,890,1100,1400,1500,3400,8700,9100,9300,11000,11000,11000,2714,0,890.0,1716.202138684863,4.463024990400299,11416.991783014964,179.2210759027266
1717964395,1000,,Aggregated,189.600000,0.000000,850,1000,1300,1500,3300,8600,9100,9300,12000,12000,12000,2892,0,850.0,1641.9404492484912,4.463024990400299,12418.140869995113,179.24515905947442
1717964396,1000,,Aggregated,182.900000,0.000000,870,1100,1400,1600,8500,9100,10000,12000,13000,13000,13000,3069,0,870.0,1985.4513728528973,4.463024990400299,12574.376108997967,179.2688172043011
1717964397,1000,,Aggregated,176.800000,0.000000,840,1000,1400,1600,8400,9100,10000,12000,13000,13000,13000,3247,0,840.0,1928.3870866004193,4.463024990400299,12574.376108997967,179.2941176470588
1717964398,1000,,Aggregated,170.400000,0.000000,820,990,1300,1500,8300,9000,10000,11000,13000,13000,13000,3434,0,820.0,1863.3679588789275,4.463024990400299,12574.376108997967,179.3118811881188
