Request: 0, Container: go-server-image-9500, HeapAlloc: 2649264, HeapIdle: 4980736, HeapInuse: 3047424, NextGC: 4194304, NumGC: 60

Request: 1, Container: go-server-image-9500, HeapAlloc: 2757568, HeapIdle: 4866048, HeapInuse: 3162112, NextGC: 4194304, NumGC: 60

Request: 2, Container: go-server-image-9500, HeapAlloc: 2864288, HeapIdle: 4759552, HeapInuse: 3268608, NextGC: 4194304, NumGC: 60

Request: 3, Container: go-server-image-9500, HeapAlloc: 2967776, HeapIdle: 4661248, HeapInuse: 3366912, NextGC: 4194304, NumGC: 60

Request: 4, Container: go-server-image-9500, HeapAlloc: 3075232, HeapIdle: 4546560, HeapInuse: 3481600, NextGC: 4194304, NumGC: 60

Request: 5, Container: go-server-image-9500, HeapAlloc: 3183968, HeapIdle: 4440064, HeapInuse: 3588096, NextGC: 4194304, NumGC: 60

Request: 6, Container: go-server-image-9500, HeapAlloc: 3292784, HeapIdle: 4317184, HeapInuse: 3710976, NextGC: 4194304, NumGC: 60

Request: 7, Container: go-server-image-9500, HeapAlloc: 3400176, HeapIdle: 4218880, HeapInuse: 3809280, NextGC: 4194304, NumGC: 60

Request: 8, Container: go-server-image-9500, HeapAlloc: 3508128, HeapIdle: 4112384, HeapInuse: 3915776, NextGC: 4194304, NumGC: 60

Request: 9, Container: go-server-image-9500, HeapAlloc: 3610848, HeapIdle: 4014080, HeapInuse: 4014080, NextGC: 4194304, NumGC: 60

Request: 10, Container: go-server-image-9500, HeapAlloc: 3718096, HeapIdle: 3907584, HeapInuse: 4120576, NextGC: 4194304, NumGC: 60

Request: 11, Container: go-server-image-9500, HeapAlloc: 3825312, HeapIdle: 3792896, HeapInuse: 4235264, NextGC: 4194304, NumGC: 60

Request: 12, Container: go-server-image-9500, HeapAlloc: 3933072, HeapIdle: 3653632, HeapInuse: 4341760, NextGC: 4194304, NumGC: 60

Request: 13, Container: go-server-image-9500, HeapAlloc: 328568, HeapIdle: 7168000, HeapInuse: 827392, NextGC: 4194304, NumGC: 61

Request: 14, Container: go-server-image-9500, HeapAlloc: 541544, HeapIdle: 7004160, HeapInuse: 1024000, NextGC: 4194304, NumGC: 61

Request: 15, Container: go-server-image-9500, HeapAlloc: 648120, HeapIdle: 6905856, HeapInuse: 1122304, NextGC: 4194304, NumGC: 61

Request: 16, Container: go-server-image-9500, HeapAlloc: 754888, HeapIdle: 6791168, HeapInuse: 1236992, NextGC: 4194304, NumGC: 61

Request: 17, Container: go-server-image-9500, HeapAlloc: 862808, HeapIdle: 6684672, HeapInuse: 1343488, NextGC: 4194304, NumGC: 61

Request: 18, Container: go-server-image-9500, HeapAlloc: 969992, HeapIdle: 6586368, HeapInuse: 1441792, NextGC: 4194304, NumGC: 61

Request: 19, Container: go-server-image-9500, HeapAlloc: 1075896, HeapIdle: 6479872, HeapInuse: 1548288, NextGC: 4194304, NumGC: 61

Request: 20, Container: go-server-image-9500, HeapAlloc: 1183288, HeapIdle: 6381568, HeapInuse: 1646592, NextGC: 4194304, NumGC: 61

Request: 21, Container: go-server-image-9500, HeapAlloc: 1291688, HeapIdle: 6275072, HeapInuse: 1753088, NextGC: 4194304, NumGC: 61

Request: 22, Container: go-server-image-9500, HeapAlloc: 1399880, HeapIdle: 6168576, HeapInuse: 1859584, NextGC: 4194304, NumGC: 61

Request: 23, Container: go-server-image-9500, HeapAlloc: 1507928, HeapIdle: 6062080, HeapInuse: 1966080, NextGC: 4194304, NumGC: 61

Request: 24, Container: go-server-image-9500, HeapAlloc: 1615176, HeapIdle: 5955584, HeapInuse: 2072576, NextGC: 4194304, NumGC: 61

Request: 25, Container: go-server-image-9500, HeapAlloc: 1723656, HeapIdle: 5857280, HeapInuse: 2170880, NextGC: 4194304, NumGC: 61

