Request: 0, Container: go-server-image-9500, HeapAlloc: 107159712, HeapIdle: 9101312, HeapInuse: 107945984, NextGC: 116521088, NumGC: 1

Request: 1, Container: go-server-image-9500, HeapAlloc: 107263216, HeapIdle: 9003008, HeapInuse: 108044288, NextGC: 116526288, NumGC: 1

Request: 2, Container: go-server-image-9500, HeapAlloc: 107370688, HeapIdle: 8888320, HeapInuse: 108158976, NextGC: 116519072, NumGC: 1

Request: 3, Container: go-server-image-9500, HeapAlloc: 107479440, HeapIdle: 8773632, HeapInuse: 108273664, NextGC: 116513136, NumGC: 1

Request: 4, Container: go-server-image-9500, HeapAlloc: 107588256, HeapIdle: 8667136, HeapInuse: 108380160, NextGC: 116515456, NumGC: 1

Request: 5, Container: go-server-image-9500, HeapAlloc: 107695648, HeapIdle: 8568832, HeapInuse: 108478464, NextGC: 116524544, NumGC: 1

Request: 6, Container: go-server-image-9500, HeapAlloc: 107803600, HeapIdle: 8462336, HeapInuse: 108584960, NextGC: 116526000, NumGC: 1

Request: 7, Container: go-server-image-9500, HeapAlloc: 107906320, HeapIdle: 8347648, HeapInuse: 108699648, NextGC: 116514032, NumGC: 1

Request: 8, Container: go-server-image-9500, HeapAlloc: 108013584, HeapIdle: 8241152, HeapInuse: 108806144, NextGC: 116514800, NumGC: 1

Request: 9, Container: go-server-image-9500, HeapAlloc: 108120800, HeapIdle: 8142848, HeapInuse: 108904448, NextGC: 116523712, NumGC: 1

Request: 10, Container: go-server-image-9500, HeapAlloc: 108228560, HeapIdle: 8036352, HeapInuse: 109010944, NextGC: 116524976, NumGC: 1

Request: 11, Container: go-server-image-9500, HeapAlloc: 108336448, HeapIdle: 7938048, HeapInuse: 109109248, NextGC: 116534560, NumGC: 1

Request: 12, Container: go-server-image-9500, HeapAlloc: 108444032, HeapIdle: 7823360, HeapInuse: 109223936, NextGC: 116527456, NumGC: 1

Request: 13, Container: go-server-image-9500, HeapAlloc: 108550608, HeapIdle: 7700480, HeapInuse: 109346816, NextGC: 116511152, NumGC: 1

Request: 14, Container: go-server-image-9500, HeapAlloc: 108657392, HeapIdle: 7593984, HeapInuse: 109453312, NextGC: 116511440, NumGC: 1

Request: 15, Container: go-server-image-9500, HeapAlloc: 108765328, HeapIdle: 7495680, HeapInuse: 109551616, NextGC: 116521072, NumGC: 1

Request: 16, Container: go-server-image-9500, HeapAlloc: 108872512, HeapIdle: 7389184, HeapInuse: 109658112, NextGC: 116521760, NumGC: 1

Request: 17, Container: go-server-image-9500, HeapAlloc: 108978416, HeapIdle: 7290880, HeapInuse: 109756416, NextGC: 116529360, NumGC: 1

Request: 18, Container: go-server-image-9500, HeapAlloc: 109191472, HeapIdle: 7053312, HeapInuse: 109993984, NextGC: 116504848, NumGC: 1

Request: 19, Container: go-server-image-9500, HeapAlloc: 109634072, HeapIdle: 6586368, HeapInuse: 110428160, NextGC: 116480504, NumGC: 1

