Request: 0, Container: go-server-image-9500, HeapAlloc: 104208480, HeapIdle: 12132352, HeapInuse: 104947712, NextGC: 115224640, NumGC: 18

Request: 1, Container: go-server-image-9500, HeapAlloc: 105220848, HeapIdle: 11116544, HeapInuse: 105963520, NextGC: 115221200, NumGC: 18

Request: 2, Container: go-server-image-9500, HeapAlloc: 106234064, HeapIdle: 10108928, HeapInuse: 106971136, NextGC: 115226800, NumGC: 18

Request: 3, Container: go-server-image-9500, HeapAlloc: 107266432, HeapIdle: 9060352, HeapInuse: 108019712, NextGC: 115210592, NumGC: 18

Request: 4, Container: go-server-image-9500, HeapAlloc: 108298064, HeapIdle: 8028160, HeapInuse: 109051904, NextGC: 115210032, NumGC: 18

Request: 5, Container: go-server-image-9500, HeapAlloc: 110244960, HeapIdle: 6086656, HeapInuse: 110993408, NextGC: 115215424, NumGC: 18

Request: 6, Container: go-server-image-9500, HeapAlloc: 107873728, HeapIdle: 8306688, HeapInuse: 108707840, NextGC: 115064224, NumGC: 19

Request: 7, Container: go-server-image-9500, HeapAlloc: 107899872, HeapIdle: 8290304, HeapInuse: 108724224, NextGC: 115073984, NumGC: 19

Request: 8, Container: go-server-image-9500, HeapAlloc: 107924488, HeapIdle: 8290304, HeapInuse: 108724224, NextGC: 115098600, NumGC: 19

Request: 9, Container: go-server-image-9500, HeapAlloc: 107941120, HeapIdle: 8249344, HeapInuse: 108732416, NextGC: 115074272, NumGC: 19

Request: 10, Container: go-server-image-9500, HeapAlloc: 107935592, HeapIdle: 8249344, HeapInuse: 108732416, NextGC: 115068744, NumGC: 19

Request: 11, Container: go-server-image-9500, HeapAlloc: 107960864, HeapIdle: 8208384, HeapInuse: 108740608, NextGC: 115053056, NumGC: 19

Request: 12, Container: go-server-image-9500, HeapAlloc: 107981688, HeapIdle: 8200192, HeapInuse: 108748800, NextGC: 115065688, NumGC: 19

Request: 13, Container: go-server-image-9500, HeapAlloc: 107985168, HeapIdle: 8159232, HeapInuse: 108756992, NextGC: 115028208, NumGC: 19

Request: 14, Container: go-server-image-9500, HeapAlloc: 107998296, HeapIdle: 8151040, HeapInuse: 108765184, NextGC: 115033144, NumGC: 19

Request: 15, Container: go-server-image-9500, HeapAlloc: 107991072, HeapIdle: 8101888, HeapInuse: 108781568, NextGC: 114976768, NumGC: 19

Request: 16, Container: go-server-image-9500, HeapAlloc: 108007608, HeapIdle: 8101888, HeapInuse: 108781568, NextGC: 114993304, NumGC: 19

Request: 17, Container: go-server-image-9500, HeapAlloc: 108029040, HeapIdle: 8060928, HeapInuse: 108789760, NextGC: 114973776, NumGC: 19

Request: 18, Container: go-server-image-9500, HeapAlloc: 108029960, HeapIdle: 8052736, HeapInuse: 108797952, NextGC: 114966504, NumGC: 19

Request: 19, Container: go-server-image-9500, HeapAlloc: 108037704, HeapIdle: 8044544, HeapInuse: 108806144, NextGC: 114966056, NumGC: 19

Request: 20, Container: go-server-image-9500, HeapAlloc: 108030520, HeapIdle: 8044544, HeapInuse: 108806144, NextGC: 114958872, NumGC: 19

Request: 21, Container: go-server-image-9500, HeapAlloc: 108036904, HeapIdle: 8044544, HeapInuse: 108806144, NextGC: 114965256, NumGC: 19

Request: 22, Container: go-server-image-9500, HeapAlloc: 108031336, HeapIdle: 8044544, HeapInuse: 108806144, NextGC: 114959688, NumGC: 19

Request: 23, Container: go-server-image-9500, HeapAlloc: 108175928, HeapIdle: 7880704, HeapInuse: 108937216, NextGC: 114940440, NumGC: 19

Request: 24, Container: go-server-image-9500, HeapAlloc: 110665912, HeapIdle: 5169152, HeapInuse: 111517696, NextGC: 114718872, NumGC: 20

Request: 25, Container: go-server-image-9500, HeapAlloc: 110163984, HeapIdle: 5701632, HeapInuse: 110985216, NextGC: 114749424, NumGC: 20

Request: 26, Container: go-server-image-9500, HeapAlloc: 109693568, HeapIdle: 6168576, HeapInuse: 110518272, NextGC: 114745952, NumGC: 20

Request: 27, Container: go-server-image-9500, HeapAlloc: 111151016, HeapIdle: 4784128, HeapInuse: 112033792, NextGC: 114818952, NumGC: 21

Request: 28, Container: go-server-image-9500, HeapAlloc: 110285560, HeapIdle: 5505024, HeapInuse: 111116288, NextGC: 114674392, NumGC: 21

Request: 29, Container: go-server-image-9500, HeapAlloc: 109391032, HeapIdle: 6406144, HeapInuse: 110215168, NextGC: 114680984, NumGC: 21

Request: 30, Container: go-server-image-9500, HeapAlloc: 108573480, HeapIdle: 7233536, HeapInuse: 109387776, NextGC: 114690824, NumGC: 21

Request: 31, Container: go-server-image-9500, HeapAlloc: 107890368, HeapIdle: 7913472, HeapInuse: 108707840, NextGC: 114687648, NumGC: 21

Request: 32, Container: go-server-image-9500, HeapAlloc: 110537184, HeapIdle: 5324800, HeapInuse: 111394816, NextGC: 114745792, NumGC: 22

Request: 33, Container: go-server-image-9500, HeapAlloc: 109869640, HeapIdle: 5980160, HeapInuse: 110706688, NextGC: 114733608, NumGC: 22

Request: 34, Container: go-server-image-9500, HeapAlloc: 109286296, HeapIdle: 6635520, HeapInuse: 110116864, NextGC: 114805624, NumGC: 22

Request: 35, Container: go-server-image-9500, HeapAlloc: 108747312, HeapIdle: 7143424, HeapInuse: 109576192, NextGC: 114774544, NumGC: 22

Request: 36, Container: go-server-image-9500, HeapAlloc: 108262216, HeapIdle: 7643136, HeapInuse: 109076480, NextGC: 114789160, NumGC: 22

