Request: 0, Container: go-server-image-9500, HeapAlloc: 55924832, HeapIdle: 5939200, HeapInuse: 56549376, NextGC: 46263528, NumGC: 67

Request: 1, Container: go-server-image-9500, HeapAlloc: 20012928, HeapIdle: 42049536, HeapInuse: 20504576, NextGC: 46263528, NumGC: 67

Request: 2, Container: go-server-image-9500, HeapAlloc: 39646864, HeapIdle: 22315008, HeapInuse: 40206336, NextGC: 46263528, NumGC: 67

Request: 3, Container: go-server-image-9500, HeapAlloc: 43622680, HeapIdle: 18325504, HeapInuse: 44195840, NextGC: 120882440, NumGC: 68

Request: 4, Container: go-server-image-9500, HeapAlloc: 39854584, HeapIdle: 22142976, HeapInuse: 40411136, NextGC: 120931816, NumGC: 68

Request: 5, Container: go-server-image-9500, HeapAlloc: 49987544, HeapIdle: 11984896, HeapInuse: 50569216, NextGC: 120906696, NumGC: 68

Request: 6, Container: go-server-image-9500, HeapAlloc: 60164216, HeapIdle: 1777664, HeapInuse: 60776448, NextGC: 120876136, NumGC: 68

Request: 7, Container: go-server-image-9500, HeapAlloc: 70431128, HeapIdle: 4055040, HeapInuse: 71081984, NextGC: 118573432, NumGC: 68

Request: 8, Container: go-server-image-9500, HeapAlloc: 80725720, HeapIdle: 2113536, HeapInuse: 81412096, NextGC: 118210232, NumGC: 68

Request: 9, Container: go-server-image-9500, HeapAlloc: 90919160, HeapIdle: 278528, HeapInuse: 91635712, NextGC: 117852376, NumGC: 68

Request: 10, Container: go-server-image-9500, HeapAlloc: 101159880, HeapIdle: 2588672, HeapInuse: 101908480, NextGC: 117443496, NumGC: 68

Request: 11, Container: go-server-image-9500, HeapAlloc: 111467416, HeapIdle: 622592, HeapInuse: 112263168, NextGC: 117330808, NumGC: 68

Request: 12, Container: go-server-image-9500, HeapAlloc: 18666048, HeapIdle: 97861632, HeapInuse: 19152896, NextGC: 20971520, NumGC: 69

Request: 13, Container: go-server-image-9500, HeapAlloc: 39518312, HeapIdle: 76963840, HeapInuse: 40083456, NextGC: 117266504, NumGC: 70

Request: 14, Container: go-server-image-9500, HeapAlloc: 49828424, HeapIdle: 66658304, HeapInuse: 50421760, NextGC: 117271080, NumGC: 70

Request: 15, Container: go-server-image-9500, HeapAlloc: 60132584, HeapIdle: 56328192, HeapInuse: 60751872, NextGC: 117179592, NumGC: 70

Request: 16, Container: go-server-image-9500, HeapAlloc: 70358744, HeapIdle: 46055424, HeapInuse: 71024640, NextGC: 117067448, NumGC: 70

Request: 17, Container: go-server-image-9500, HeapAlloc: 80656520, HeapIdle: 35733504, HeapInuse: 81346560, NextGC: 116977768, NumGC: 70

Request: 18, Container: go-server-image-9500, HeapAlloc: 90875448, HeapIdle: 25477120, HeapInuse: 91602944, NextGC: 116874776, NumGC: 70

Request: 19, Container: go-server-image-9500, HeapAlloc: 100007624, HeapIdle: 16318464, HeapInuse: 100761600, NextGC: 116782760, NumGC: 70

Request: 20, Container: go-server-image-9500, HeapAlloc: 110303176, HeapIdle: 5980160, HeapInuse: 111099904, NextGC: 116674472, NumGC: 70

