0, 1154
1, 1174
2, 1164
3, 1160
4, 1226
5, 1167
6, 1159
7, 1191
8, 1173
9, 1344
10, 1159
11, 1144
12, 1166
13, 1157
14, 1140
15, 1177
16, 1143
17, 1151
18, 1284
19, 1167
20, 1165
21, 1210
22, 1154
23, 1172
24, 1155
25, 1148
26, 1173
27, 1171
28, 1165
29, 1236
30, 1165
31, 1162
32, 1163
33, 1156
34, 1165
35, 1167
36, 1161
37, 1167
38, 1163
39, 1157
40, 1146
41, 1162
42, 1169
43, 1152
44, 1162
45, 1158
46, 1150
47, 1155
48, 1163
49, 1155
50, 1150
51, 1165
52, 1155
53, 1159
54, 1161
55, 1167
56, 1224
57, 1167
58, 1168
59, 1161
60, 1186
61, 1157
62, 1150
63, 1163
64, 1196
65, 1181
66, 1159
67, 1168
68, 1161
69, 1160
70, 1172
71, 1181
72, 1162
73, 1223
74, 1173
75, 1207
76, 1162
77, 1164
78, 1150
79, 1326
80, 1169
81, 1148
82, 1167
83, 1152
84, 1160
85, 1152
86, 1157
87, 1167
88, 1152
89, 1177
90, 1211
91, 1161
92, 1169
93, 1167
94, 1163
95, 1167
96, 1159
97, 1167
98, 1159
99, 1160
