ArraySize,ResponseP50,ResponseP99,ResponseP999,ResponseP9999,ServerP50,ServerP99,ServerP999,ServerP9999
100,1725,1993,3665,4208,36,64,124,192
10000,2312,2701,3748,4681,802,890,950,1176


1000000,35882,39195,69047,72673,34090,37154,41663,48318
