ArraySize,ResponseP50,ResponseP99,ResponseP999,ResponseP9999,ServerP50,ServerP99,ServerP999,ServerP9999
100,37998,46032,49828,113863,10,67,107,178
10000,39194,45579,49308,76207,610,823,2096,5048
1000000,39290,91777,136098,155570,33824,65327,107529,113520
