HeapAlloc: 346352, HeapIdle: 3039232, HeapInuse: 794624
HeapAlloc: 8277192, HeapIdle: 3440640, HeapInuse: 8716288
HeapAlloc: 16119872, HeapIdle: 4030464, HeapInuse: 16547840
HeapAlloc: 8116032, HeapIdle: 12034048, HeapInuse: 8544256
HeapAlloc: 8116032, HeapIdle: 12034048, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8117256, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8117256, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8117256, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8117256, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8117256, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8117256, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8117256, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8117256, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8117256, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8117256, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 16119624, HeapIdle: 12419072, HeapInuse: 16547840
HeapAlloc: 8117256, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116456, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116456, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8117256, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8117256, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116456, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8117256, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116456, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
HeapAlloc: 8116040, HeapIdle: 20422656, HeapInuse: 8544256
