HeapAlloc: 566472, HeapIdle: 65323008, HeapInuse: 1228800
HeapAlloc: 563008, HeapIdle: 65331200, HeapInuse: 1187840
HeapAlloc: 652384, HeapIdle: 65241088, HeapInuse: 1310720
HeapAlloc: 648920, HeapIdle: 65249280, HeapInuse: 1269760
HeapAlloc: 738296, HeapIdle: 65159168, HeapInuse: 1392640
HeapAlloc: 734832, HeapIdle: 65167360, HeapInuse: 1351680
HeapAlloc: 826704, HeapIdle: 65069056, HeapInuse: 1482752
HeapAlloc: 821128, HeapIdle: 65085440, HeapInuse: 1433600
HeapAlloc: 913072, HeapIdle: 64987136, HeapInuse: 1564672
HeapAlloc: 907040, HeapIdle: 65003520, HeapInuse: 1515520
HeapAlloc: 998984, HeapIdle: 64905216, HeapInuse: 1646592
HeapAlloc: 992952, HeapIdle: 64921600, HeapInuse: 1597440
HeapAlloc: 1084896, HeapIdle: 64823296, HeapInuse: 1728512
HeapAlloc: 1078864, HeapIdle: 64839680, HeapInuse: 1679360
HeapAlloc: 1170808, HeapIdle: 64741376, HeapInuse: 1810432
HeapAlloc: 1164784, HeapIdle: 64757760, HeapInuse: 1761280
HeapAlloc: 1256720, HeapIdle: 64659456, HeapInuse: 1892352
HeapAlloc: 1250696, HeapIdle: 64667648, HeapInuse: 1851392
HeapAlloc: 1342632, HeapIdle: 64577536, HeapInuse: 1974272
HeapAlloc: 1336608, HeapIdle: 64585728, HeapInuse: 1933312
HeapAlloc: 1430656, HeapIdle: 64479232, HeapInuse: 2072576
HeapAlloc: 1422520, HeapIdle: 64503808, HeapInuse: 2015232
HeapAlloc: 1517024, HeapIdle: 64397312, HeapInuse: 2154496
HeapAlloc: 1508432, HeapIdle: 64421888, HeapInuse: 2097152
HeapAlloc: 1602936, HeapIdle: 64315392, HeapInuse: 2236416
HeapAlloc: 1594344, HeapIdle: 64339968, HeapInuse: 2179072
HeapAlloc: 1688848, HeapIdle: 64233472, HeapInuse: 2318336
HeapAlloc: 1680256, HeapIdle: 64258048, HeapInuse: 2260992
HeapAlloc: 1774760, HeapIdle: 64151552, HeapInuse: 2400256
HeapAlloc: 1766168, HeapIdle: 64176128, HeapInuse: 2342912
HeapAlloc: 1860672, HeapIdle: 64069632, HeapInuse: 2482176
HeapAlloc: 1852080, HeapIdle: 64094208, HeapInuse: 2424832
HeapAlloc: 1946584, HeapIdle: 63987712, HeapInuse: 2564096
HeapAlloc: 1937992, HeapIdle: 63995904, HeapInuse: 2523136
HeapAlloc: 2032496, HeapIdle: 63905792, HeapInuse: 2646016
HeapAlloc: 2023904, HeapIdle: 63913984, HeapInuse: 2605056
HeapAlloc: 2118408, HeapIdle: 63823872, HeapInuse: 2727936
HeapAlloc: 2109816, HeapIdle: 63832064, HeapInuse: 2686976
HeapAlloc: 2204320, HeapIdle: 63741952, HeapInuse: 2809856
HeapAlloc: 2195728, HeapIdle: 63750144, HeapInuse: 2768896
HeapAlloc: 2290232, HeapIdle: 63660032, HeapInuse: 2891776
HeapAlloc: 2281640, HeapIdle: 63668224, HeapInuse: 2850816
HeapAlloc: 2376144, HeapIdle: 63569920, HeapInuse: 2981888
HeapAlloc: 2367552, HeapIdle: 63586304, HeapInuse: 2932736
HeapAlloc: 2462056, HeapIdle: 63479808, HeapInuse: 3072000
HeapAlloc: 2453464, HeapIdle: 63504384, HeapInuse: 3014656
HeapAlloc: 2547968, HeapIdle: 63397888, HeapInuse: 3153920
HeapAlloc: 2539376, HeapIdle: 63414272, HeapInuse: 3104768
HeapAlloc: 2633880, HeapIdle: 63315968, HeapInuse: 3235840
HeapAlloc: 2625288, HeapIdle: 63332352, HeapInuse: 3186688
HeapAlloc: 2719792, HeapIdle: 63234048, HeapInuse: 3317760
HeapAlloc: 2711200, HeapIdle: 63250432, HeapInuse: 3268608
HeapAlloc: 2805704, HeapIdle: 63152128, HeapInuse: 3399680
HeapAlloc: 2797112, HeapIdle: 63168512, HeapInuse: 3350528
HeapAlloc: 2891616, HeapIdle: 63070208, HeapInuse: 3481600
HeapAlloc: 2883024, HeapIdle: 63078400, HeapInuse: 3440640
HeapAlloc: 2977528, HeapIdle: 62988288, HeapInuse: 3563520
HeapAlloc: 2968936, HeapIdle: 62996480, HeapInuse: 3522560
HeapAlloc: 3063440, HeapIdle: 62898176, HeapInuse: 3653632
HeapAlloc: 3054848, HeapIdle: 62914560, HeapInuse: 3604480
HeapAlloc: 3149352, HeapIdle: 62816256, HeapInuse: 3735552
HeapAlloc: 3140760, HeapIdle: 62832640, HeapInuse: 3686400
HeapAlloc: 3235264, HeapIdle: 62734336, HeapInuse: 3817472
HeapAlloc: 3226672, HeapIdle: 62750720, HeapInuse: 3768320
HeapAlloc: 3321176, HeapIdle: 62652416, HeapInuse: 3899392
HeapAlloc: 3312584, HeapIdle: 62668800, HeapInuse: 3850240
HeapAlloc: 3407088, HeapIdle: 62545920, HeapInuse: 4005888
HeapAlloc: 3398496, HeapIdle: 62570496, HeapInuse: 3948544
HeapAlloc: 3493000, HeapIdle: 62464000, HeapInuse: 4087808
HeapAlloc: 3484408, HeapIdle: 62488576, HeapInuse: 4030464
HeapAlloc: 3578912, HeapIdle: 62382080, HeapInuse: 4169728
HeapAlloc: 3570320, HeapIdle: 62406656, HeapInuse: 4112384
HeapAlloc: 3664824, HeapIdle: 62300160, HeapInuse: 4251648
HeapAlloc: 3656232, HeapIdle: 62324736, HeapInuse: 4194304
HeapAlloc: 3750736, HeapIdle: 62218240, HeapInuse: 4333568
HeapAlloc: 3742144, HeapIdle: 62242816, HeapInuse: 4276224
HeapAlloc: 3836648, HeapIdle: 62136320, HeapInuse: 4415488
HeapAlloc: 3828056, HeapIdle: 62160896, HeapInuse: 4358144
HeapAlloc: 3922560, HeapIdle: 62054400, HeapInuse: 4497408
HeapAlloc: 3913968, HeapIdle: 62070784, HeapInuse: 4448256
HeapAlloc: 4008472, HeapIdle: 61972480, HeapInuse: 4579328
