0, 193134
1, 192423
2, 195714
3, 192721
4, 192914
5, 192701
6, 193252
7, 192751
8, 193671
9, 192818
10, 192978
11, 193087
12, 192610
13, 193240
14, 192537
15, 193636
16, 193244
17, 193462
18, 193885
19, 192989
20, 192718
21, 193579
22, 193132
23, 193861
24, 193647
25, 193172
26, 193141
27, 192915
28, 196960
29, 192843
30, 193243
31, 193105
32, 193253
33, 193625
34, 193303
35, 193065
36, 193956
37, 192849
38, 193347
39, 193092
40, 193043
41, 193090
42, 192733
43, 192722
44, 193451
45, 193286
46, 193052
47, 193098
48, 194481
49, 193383
50, 193491
51, 192872
52, 192725
53, 192998
54, 196031
55, 192766
56, 193515
57, 192704
58, 192840
59, 194158
60, 193137
61, 192471
62, 193376
63, 192861
64, 193392
65, 193235
66, 193050
67, 192895
68, 192588
69, 192899
70, 192797
71, 193030
72, 193131
73, 192651
74, 192895
75, 193055
76, 192910
77, 192980
78, 192556
79, 192862
80, 196524
81, 192982
82, 192819
83, 192882
84, 192844
85, 193554
86, 193012
87, 194173
88, 193477
89, 192764
90, 193809
91, 192925
92, 193122
93, 193384
94, 192957
95, 193178
96, 193029
97, 192841
98, 192817
99, 192646
