HeapAlloc: 346976, HeapIdle: 3039232, HeapInuse: 794624
HeapAlloc: 352072, HeapIdle: 3031040, HeapInuse: 802816
HeapAlloc: 357152, HeapIdle: 3022848, HeapInuse: 811008
HeapAlloc: 362232, HeapIdle: 3022848, HeapInuse: 811008
HeapAlloc: 367312, HeapIdle: 3022848, HeapInuse: 811008
HeapAlloc: 372392, HeapIdle: 3014656, HeapInuse: 819200
HeapAlloc: 377472, HeapIdle: 3014656, HeapInuse: 819200
HeapAlloc: 382552, HeapIdle: 3014656, HeapInuse: 819200
HeapAlloc: 387632, HeapIdle: 3014656, HeapInuse: 819200
HeapAlloc: 392712, HeapIdle: 3006464, HeapInuse: 827392
HeapAlloc: 397792, HeapIdle: 2990080, HeapInuse: 843776
HeapAlloc: 402872, HeapIdle: 2981888, HeapInuse: 851968
HeapAlloc: 407952, HeapIdle: 2981888, HeapInuse: 851968
HeapAlloc: 413032, HeapIdle: 2981888, HeapInuse: 851968
HeapAlloc: 418112, HeapIdle: 2981888, HeapInuse: 851968
HeapAlloc: 423192, HeapIdle: 2981888, HeapInuse: 851968
HeapAlloc: 428272, HeapIdle: 2965504, HeapInuse: 868352
HeapAlloc: 433352, HeapIdle: 2965504, HeapInuse: 868352
HeapAlloc: 438432, HeapIdle: 2965504, HeapInuse: 868352
HeapAlloc: 443512, HeapIdle: 2957312, HeapInuse: 876544
HeapAlloc: 448592, HeapIdle: 2949120, HeapInuse: 884736
HeapAlloc: 453672, HeapIdle: 2949120, HeapInuse: 884736
HeapAlloc: 458752, HeapIdle: 2940928, HeapInuse: 892928
HeapAlloc: 463832, HeapIdle: 2940928, HeapInuse: 892928
HeapAlloc: 468912, HeapIdle: 2940928, HeapInuse: 892928
HeapAlloc: 473992, HeapIdle: 2940928, HeapInuse: 892928
HeapAlloc: 479072, HeapIdle: 2940928, HeapInuse: 892928
HeapAlloc: 484152, HeapIdle: 2940928, HeapInuse: 892928
HeapAlloc: 489232, HeapIdle: 2924544, HeapInuse: 909312
HeapAlloc: 494312, HeapIdle: 2924544, HeapInuse: 909312
HeapAlloc: 499392, HeapIdle: 2916352, HeapInuse: 917504
HeapAlloc: 504472, HeapIdle: 2916352, HeapInuse: 917504
HeapAlloc: 509552, HeapIdle: 2908160, HeapInuse: 925696
HeapAlloc: 514632, HeapIdle: 2891776, HeapInuse: 942080
HeapAlloc: 519712, HeapIdle: 2883584, HeapInuse: 950272
HeapAlloc: 524792, HeapIdle: 2875392, HeapInuse: 958464
HeapAlloc: 529872, HeapIdle: 2875392, HeapInuse: 958464
HeapAlloc: 534952, HeapIdle: 2867200, HeapInuse: 966656
HeapAlloc: 540032, HeapIdle: 2867200, HeapInuse: 966656
HeapAlloc: 545112, HeapIdle: 2859008, HeapInuse: 974848
HeapAlloc: 550192, HeapIdle: 2859008, HeapInuse: 974848
HeapAlloc: 555272, HeapIdle: 2859008, HeapInuse: 974848
HeapAlloc: 560352, HeapIdle: 2859008, HeapInuse: 974848
HeapAlloc: 565432, HeapIdle: 2859008, HeapInuse: 974848
HeapAlloc: 570512, HeapIdle: 2859008, HeapInuse: 974848
HeapAlloc: 575592, HeapIdle: 2850816, HeapInuse: 983040
HeapAlloc: 580672, HeapIdle: 2842624, HeapInuse: 991232
HeapAlloc: 585752, HeapIdle: 2842624, HeapInuse: 991232
