Request: 43, Container: go-server-image-9500, HeapAlloc: 30506944, HeapIdle: 2105344, HeapInuse: 31055872, NextGC: 41943040, NumGC: 0
Request: 44, Container: go-server-image-9500, HeapAlloc: 30520296, HeapIdle: 2097152, HeapInuse: 31064064, NextGC: 41943040, NumGC: 0
Request: 45, Container: go-server-image-9500, HeapAlloc: 30533648, HeapIdle: 2088960, HeapInuse: 31072256, NextGC: 41943040, NumGC: 0
Request: 46, Container: go-server-image-9500, HeapAlloc: 30547000, HeapIdle: 2080768, HeapInuse: 31080448, NextGC: 41943040, NumGC: 0
Request: 47, Container: go-server-image-9500, HeapAlloc: 30560352, HeapIdle: 2072576, HeapInuse: 31088640, NextGC: 41943040, NumGC: 0
Request: 48, Container: go-server-image-9500, HeapAlloc: 30573704, HeapIdle: 2048000, HeapInuse: 31113216, NextGC: 41943040, NumGC: 0
Request: 49, Container: go-server-image-9500, HeapAlloc: 30587056, HeapIdle: 2039808, HeapInuse: 31121408, NextGC: 41943040, NumGC: 0
Request: 50, Container: go-server-image-9500, HeapAlloc: 30600408, HeapIdle: 2031616, HeapInuse: 31129600, NextGC: 41943040, NumGC: 0
Request: 51, Container: go-server-image-9500, HeapAlloc: 30613760, HeapIdle: 2015232, HeapInuse: 31145984, NextGC: 41943040, NumGC: 0
Request: 52, Container: go-server-image-9500, HeapAlloc: 30627112, HeapIdle: 1998848, HeapInuse: 31162368, NextGC: 41943040, NumGC: 0
Request: 53, Container: go-server-image-9500, HeapAlloc: 30640464, HeapIdle: 1974272, HeapInuse: 31186944, NextGC: 41943040, NumGC: 0
Request: 54, Container: go-server-image-9500, HeapAlloc: 30653816, HeapIdle: 1949696, HeapInuse: 31211520, NextGC: 41943040, NumGC: 0
Request: 55, Container: go-server-image-9500, HeapAlloc: 30667168, HeapIdle: 1941504, HeapInuse: 31219712, NextGC: 41943040, NumGC: 0
Request: 56, Container: go-server-image-9500, HeapAlloc: 30680520, HeapIdle: 1933312, HeapInuse: 31227904, NextGC: 41943040, NumGC: 0
Request: 57, Container: go-server-image-9500, HeapAlloc: 30693872, HeapIdle: 1916928, HeapInuse: 31244288, NextGC: 41943040, NumGC: 0
Request: 58, Container: go-server-image-9500, HeapAlloc: 30707224, HeapIdle: 1900544, HeapInuse: 31260672, NextGC: 41943040, NumGC: 0
Request: 59, Container: go-server-image-9500, HeapAlloc: 30720576, HeapIdle: 1892352, HeapInuse: 31268864, NextGC: 41943040, NumGC: 0
Request: 60, Container: go-server-image-9500, HeapAlloc: 30733928, HeapIdle: 1875968, HeapInuse: 31285248, NextGC: 41943040, NumGC: 0
Request: 61, Container: go-server-image-9500, HeapAlloc: 30747280, HeapIdle: 1867776, HeapInuse: 31293440, NextGC: 41943040, NumGC: 0
Request: 62, Container: go-server-image-9500, HeapAlloc: 30760632, HeapIdle: 1851392, HeapInuse: 31309824, NextGC: 41943040, NumGC: 0
Request: 63, Container: go-server-image-9500, HeapAlloc: 30773984, HeapIdle: 1843200, HeapInuse: 31318016, NextGC: 41943040, NumGC: 0
Request: 64, Container: go-server-image-9500, HeapAlloc: 30787336, HeapIdle: 1826816, HeapInuse: 31334400, NextGC: 41943040, NumGC: 0
Request: 65, Container: go-server-image-9500, HeapAlloc: 30800688, HeapIdle: 1818624, HeapInuse: 31342592, NextGC: 41943040, NumGC: 0
Request: 66, Container: go-server-image-9500, HeapAlloc: 30814040, HeapIdle: 1802240, HeapInuse: 31358976, NextGC: 41943040, NumGC: 0
Request: 67, Container: go-server-image-9500, HeapAlloc: 30827392, HeapIdle: 1785856, HeapInuse: 31375360, NextGC: 41943040, NumGC: 0
Request: 68, Container: go-server-image-9500, HeapAlloc: 30840744, HeapIdle: 1777664, HeapInuse: 31383552, NextGC: 41943040, NumGC: 0
Request: 69, Container: go-server-image-9500, HeapAlloc: 30854096, HeapIdle: 1769472, HeapInuse: 31391744, NextGC: 41943040, NumGC: 0
Request: 70, Container: go-server-image-9500, HeapAlloc: 30867448, HeapIdle: 1744896, HeapInuse: 31416320, NextGC: 41943040, NumGC: 0
Request: 71, Container: go-server-image-9500, HeapAlloc: 30880800, HeapIdle: 1728512, HeapInuse: 31432704, NextGC: 41943040, NumGC: 0
Request: 72, Container: go-server-image-9500, HeapAlloc: 30894152, HeapIdle: 1720320, HeapInuse: 31440896, NextGC: 41943040, NumGC: 0
Request: 73, Container: go-server-image-9500, HeapAlloc: 30907504, HeapIdle: 1703936, HeapInuse: 31457280, NextGC: 41943040, NumGC: 0
Request: 74, Container: go-server-image-9500, HeapAlloc: 30920856, HeapIdle: 1695744, HeapInuse: 31465472, NextGC: 41943040, NumGC: 0
