Request: 0, Container: go-server-image-9500, HeapAlloc: 20702856, HeapIdle: 20455424, HeapInuse: 21127168, NextGC: 41943040, NumGC: 4
Request: 1, Container: go-server-image-9500, HeapAlloc: 20716208, HeapIdle: 20447232, HeapInuse: 21135360, NextGC: 41943040, NumGC: 4
Request: 2, Container: go-server-image-9500, HeapAlloc: 20729560, HeapIdle: 20430848, HeapInuse: 21151744, NextGC: 41943040, NumGC: 4
Request: 3, Container: go-server-image-9500, HeapAlloc: 20742912, HeapIdle: 20422656, HeapInuse: 21159936, NextGC: 41943040, NumGC: 4
Request: 4, Container: go-server-image-9500, HeapAlloc: 20756264, HeapIdle: 20406272, HeapInuse: 21176320, NextGC: 41943040, NumGC: 4
Request: 5, Container: go-server-image-9500, HeapAlloc: 20769616, HeapIdle: 20398080, HeapInuse: 21184512, NextGC: 41943040, NumGC: 4
Request: 6, Container: go-server-image-9500, HeapAlloc: 20782968, HeapIdle: 20373504, HeapInuse: 21209088, NextGC: 41943040, NumGC: 4
Request: 7, Container: go-server-image-9500, HeapAlloc: 20796320, HeapIdle: 20348928, HeapInuse: 21233664, NextGC: 41943040, NumGC: 4
Request: 8, Container: go-server-image-9500, HeapAlloc: 20809672, HeapIdle: 20332544, HeapInuse: 21250048, NextGC: 41943040, NumGC: 4
Request: 9, Container: go-server-image-9500, HeapAlloc: 20823024, HeapIdle: 20324352, HeapInuse: 21258240, NextGC: 41943040, NumGC: 4
Request: 10, Container: go-server-image-9500, HeapAlloc: 20836376, HeapIdle: 20316160, HeapInuse: 21266432, NextGC: 41943040, NumGC: 4
Request: 11, Container: go-server-image-9500, HeapAlloc: 20849728, HeapIdle: 20307968, HeapInuse: 21274624, NextGC: 41943040, NumGC: 4
Request: 12, Container: go-server-image-9500, HeapAlloc: 20863080, HeapIdle: 20299776, HeapInuse: 21282816, NextGC: 41943040, NumGC: 4
Request: 13, Container: go-server-image-9500, HeapAlloc: 20876720, HeapIdle: 20283392, HeapInuse: 21299200, NextGC: 41943040, NumGC: 4
Request: 14, Container: go-server-image-9500, HeapAlloc: 20890072, HeapIdle: 20267008, HeapInuse: 21315584, NextGC: 41943040, NumGC: 4
Request: 15, Container: go-server-image-9500, HeapAlloc: 20903424, HeapIdle: 20250624, HeapInuse: 21331968, NextGC: 41943040, NumGC: 4
