0, 52059
1, 47943
2, 51950
3, 48035
4, 47989
5, 51988
6, 48010
7, 47977
8, 47930
9, 48023
10, 48003
11, 47934
12, 48099
13, 43991
14, 48006
15, 55854
16, 48111
17, 48013
18, 47875
19, 56034
20, 48005
21, 47904
22, 48067
23, 51981
24, 55955
25, 52051
26, 51858
27, 48019
28, 48078
29, 63992
30, 56024
31, 47966
32, 47965
33, 47984
34, 51969
35, 48003
36, 48008
37, 59989
38, 51986
39, 55981
40, 44001
41, 47874
42, 44134
43, 47943
44, 55995
45, 43988
46, 52017
47, 47954
48, 47993
49, 48008
50, 51967
51, 52044
52, 43963
53, 43960
54, 44018
55, 43966
56, 44005
57, 43945
58, 48031
59, 47998
60, 43947
61, 44044
62, 43979
63, 47994
64, 47951
65, 44028
66, 47947
67, 43993
68, 47996
69, 48011
70, 47943
71, 60020
72, 52011
73, 44002
74, 43957
75, 56033
76, 47949
77, 44022
78, 55971
79, 43951
80, 48033
81, 47972
82, 44029
83, 47952
84, 52038
85, 43930
86, 48014
87, 47972
88, 44018
89, 47901
90, 48070
91, 55979
92, 47999
93, 44001
94, 47939
95, 56028
96, 56023
97, 43973
98, 43982
99, 43877
100, 44090
101, 48002
102, 43981
103, 44000
104, 43988
105, 43999
106, 59900
107, 44058
108, 43913
109, 44041
110, 44039
111, 43935
112, 48006
113, 48026
114, 43987
115, 55952
116, 44049
117, 43976
118, 43946
119, 44027
120, 43916
121, 43972
122, 44085
123, 55939
124, 48039
125, 43994
126, 43902
127, 56093
128, 43986
129, 43869
130, 44037
131, 43840
132, 44106
133, 47914
134, 44137
135, 43969
136, 44007
137, 43979
138, 43956
139, 44011
140, 43996
141, 43945
142, 43994
143, 48057
144, 43987
145, 43963
146, 44010
147, 43971
148, 43980
149, 44030
150, 43971
151, 43972
152, 47954
153, 44065
154, 43787
155, 44204
156, 43997
157, 43930
158, 59971
159, 55973
160, 43981
161, 44019
162, 44019
163, 43884
164, 44091
165, 47970
166, 43947
167, 44039
168, 43982
169, 47888
170, 44062
171, 48008
172, 43944
173, 43974
174, 43974
175, 44016
176, 44036
177, 43993
178, 47932
179, 60045
180, 47983
181, 43949
182, 44000
183, 44026
184, 47948
185, 44021
186, 43989
187, 43948
188, 44044
189, 43980
190, 51976
191, 44011
192, 44002
193, 43927
194, 44033
195, 44003
196, 43904
197, 44059
198, 56019
199, 55900
200, 44074
201, 43993
202, 43961
203, 44026
204, 43984
205, 43932
206, 44008
207, 44013
208, 43962
209, 43998
210, 44009
211, 43976
212, 44019
213, 43981
214, 55930
215, 44055
216, 48000
217, 43912
218, 48010
219, 44041
220, 43908
