c3275d81dfba4b0fa75d81dfba1b0f8f: cold
b65c919e3476412d9c919e3476812dca: warm
cbe2463a47644d12a2463a4764dd1255: warm
5a6c8d2381f2468fac8d2381f2968f72: warm
bfad2152380745baad2152380735ba74: warm
a0b86928c2f74615b86928c2f796153a: warm
e5963ad46cd54bc6963ad46cd59bc680: warm
8b1b9ca2ce8545ae9b9ca2ce8545ae29: warm
e5c14d45054c4e0a814d45054cfe0a07: warm
69375e55e95e40c4b75e55e95e60c41f: warm
24020df8b9134f1e820df8b9131f1e17: warm
05b74a74506941d6b74a745069a1d6a9: warm
73a29f60f21e443ea29f60f21ec43e46: warm
8986f25e5a6246a686f25e5a62c6a615: warm
f5f8403510e14f5db8403510e17f5da6: warm
f9fa0b5ce1504334ba0b5ce1504334aa: warm
595883497ac244489883497ac2b448bf: warm
ecab820980064545ab82098006f54567: warm
ef599a87e6174740999a87e617d74075: warm
11a6b66957ff4faaa6b66957ff8faa26: warm
b3052c3154ce4a9d852c3154ce0a9d3b: warm
84c4c7b5c2ec43d584c7b5c2ec13d58a: warm
659210aa507b42759210aa507be275da: warm
b805255d4ffe466c85255d4ffee66c47: warm
88f1e59127234977b1e5912723797758: warm
23dfdc58261b42849fdc58261be2844a: warm
34c3902a19a34f1f83902a19a34f1fd7: warm
a3b05495fcb34096b05495fcb32096c3: warm
719d15b9b19e4dca9d15b9b19eedca18: warm
2e2165c038a64188a165c038a67188eb: warm
865519736e934e5b9519736e93ce5bb5: warm
2d964608a78d4e93964608a78dfe933f: warm
061ec57852dd4d399ec57852dd7d3920: warm
ba13c073cbae47cf93c073cbae07cfbd: warm
57b7e2ffdd6c43fab7e2ffdd6c03fa7a: warm
f62a60e495284d44aa60e495282d440c: warm
26289d020b314e98a89d020b31fe98e2: warm
0523852178674aeca3852178672aec9a: warm
130b30c954154d3e8b30c954158d3e39: warm
c942df84b3e8455882df84b3e8d55883: warm
65113dd5298242c8913dd5298252c809: warm
f372007a1ff84c90b2007a1ff83c9086: warm
b8d442c80d6d4bea9442c80d6dbbead9: warm
a35146cf1ca440529146cf1ca4f052a7: warm
466099f870fe450ca099f870fe350c09: warm
9335c6210a2a4d06b5c6210a2a6d06b7: warm
2b6bd82fbab641e5abd82fbab6f1e598: warm
b7d211ba029b4e5e9211ba029bee5e22: warm
7f990f9448394ecf990f9448393ecf8b: warm
56bb5062a00d49dabb5062a00d79da68: warm
793c90a0ebb44079bc90a0ebb4907922: warm
cbd2e01acb9942d892e01acb99d2d85c: warm
e264e10b3ad64b02a4e10b3ad6fb0221: warm
c4b3bd86f82847d1b3bd86f82837d146: warm
924bba47fd5944948bba47fd59e49423: warm
43cb9a7add614ad88b9a7add61dad872: warm
4d0ed3adfddb43478ed3adfddb334770: warm
dd2d3f79b5eb4b7aad3f79b5ebfb7a2f: warm
9432893bb6124821b2893bb612882155: warm
543bc1fe4e5d452bbbc1fe4e5da52b86: warm
e92f86a2e4e548deaf86a2e4e5a8deea: warm
6f9378c9beb944a69378c9beb9a4a6a6: warm
a6f3693e1f884846b3693e1f88384650: warm
3bf048994da546d5b048994da5e6d5ab: warm
fd65029d98b446e1a5029d98b4d6e1b1: warm
201d2ceb73e0478a9d2ceb73e0478af2: warm
ec22540b239b4deba2540b239b4debac: warm
52bc928fc1c04de9bc928fc1c01de953: warm
f7de56063a5247789e56063a52a778c8: warm
c8630cd71d2e41b8a30cd71d2e11b8eb: warm
e435ff9751dd4826b5ff9751ddd82620: warm
6382019c4049488682019c4049f8868d: warm
9da2cd02421a40fba2cd02421ae0fbfa: warm
8b0934de54e742c28934de54e722c232: warm
88b1083b0f384c74b1083b0f38cc74a3: warm
7194b92d36e6476b94b92d36e6476b7d: warm
f452c070cc82404992c070cc82c049dd: warm
b7f18d3751dc42b7b18d3751dc52b70c: warm
6b6d3bd1e0dc4cb8ad3bd1e0dcfcb8d8: warm
938912e6b31a4b738912e6b31a0b733b: warm
4eeb89a4a87d432eab89a4a87df32e49: warm
d2f7a353f57547e5b7a353f57567e595: warm
e491c641f6a4457391c641f6a4f573c3: warm
9a1a9ec5d743490e9a9ec5d743390eb4: warm
0f306bf34ec54804b06bf34ec598046b: warm
b273db6b0e87495fb3db6b0e87a95fd6: warm
92d44f9b15bb45ae944f9b15bb65ae24: warm
