HeapAlloc: 7807368, HeapIdle: 4005888, HeapInuse: 8216576
HeapAlloc: 7893504, HeapIdle: 3923968, HeapInuse: 8298496
HeapAlloc: 7979640, HeapIdle: 3842048, HeapInuse: 8380416
HeapAlloc: 8065776, HeapIdle: 3760128, HeapInuse: 8462336
HeapAlloc: 8151912, HeapIdle: 3670016, HeapInuse: 8552448
HeapAlloc: 8238048, HeapIdle: 3588096, HeapInuse: 8634368
HeapAlloc: 8324184, HeapIdle: 3506176, HeapInuse: 8716288
HeapAlloc: 8410320, HeapIdle: 3407872, HeapInuse: 8814592
HeapAlloc: 8496456, HeapIdle: 3325952, HeapInuse: 8896512
HeapAlloc: 8582592, HeapIdle: 3227648, HeapInuse: 8994816
HeapAlloc: 8668728, HeapIdle: 3137536, HeapInuse: 9084928
HeapAlloc: 8754864, HeapIdle: 3055616, HeapInuse: 9166848
HeapAlloc: 8841000, HeapIdle: 2973696, HeapInuse: 9248768
HeapAlloc: 8927136, HeapIdle: 2891776, HeapInuse: 9330688
HeapAlloc: 9013272, HeapIdle: 2809856, HeapInuse: 9412608
HeapAlloc: 9099408, HeapIdle: 2719744, HeapInuse: 9502720
HeapAlloc: 9185544, HeapIdle: 2629632, HeapInuse: 9592832
HeapAlloc: 9271680, HeapIdle: 2547712, HeapInuse: 9674752
HeapAlloc: 9357816, HeapIdle: 2465792, HeapInuse: 9756672
HeapAlloc: 9443952, HeapIdle: 2367488, HeapInuse: 9854976
HeapAlloc: 9530088, HeapIdle: 2277376, HeapInuse: 9945088
HeapAlloc: 9616224, HeapIdle: 2179072, HeapInuse: 10043392
HeapAlloc: 9702360, HeapIdle: 2097152, HeapInuse: 10125312
HeapAlloc: 9788496, HeapIdle: 2015232, HeapInuse: 10207232
HeapAlloc: 9874632, HeapIdle: 1933312, HeapInuse: 10289152
HeapAlloc: 9960768, HeapIdle: 1835008, HeapInuse: 10387456
HeapAlloc: 10046904, HeapIdle: 1753088, HeapInuse: 10469376
HeapAlloc: 10133040, HeapIdle: 1662976, HeapInuse: 10559488
HeapAlloc: 10219176, HeapIdle: 1581056, HeapInuse: 10641408
HeapAlloc: 10305312, HeapIdle: 1499136, HeapInuse: 10723328
HeapAlloc: 10391448, HeapIdle: 1417216, HeapInuse: 10805248
HeapAlloc: 10477584, HeapIdle: 1318912, HeapInuse: 10903552
HeapAlloc: 10563720, HeapIdle: 1228800, HeapInuse: 10993664
HeapAlloc: 10649856, HeapIdle: 1146880, HeapInuse: 11075584
HeapAlloc: 10735992, HeapIdle: 1064960, HeapInuse: 11157504
HeapAlloc: 10822128, HeapIdle: 983040, HeapInuse: 11239424
HeapAlloc: 10908264, HeapIdle: 901120, HeapInuse: 11321344
HeapAlloc: 10994400, HeapIdle: 819200, HeapInuse: 11403264
HeapAlloc: 11080536, HeapIdle: 729088, HeapInuse: 11493376
HeapAlloc: 11166672, HeapIdle: 638976, HeapInuse: 11583488
HeapAlloc: 11252808, HeapIdle: 557056, HeapInuse: 11665408
HeapAlloc: 11338944, HeapIdle: 466944, HeapInuse: 11755520
HeapAlloc: 11425080, HeapIdle: 385024, HeapInuse: 11837440
HeapAlloc: 11511216, HeapIdle: 303104, HeapInuse: 11919360
HeapAlloc: 11597352, HeapIdle: 204800, HeapInuse: 12017664
HeapAlloc: 11683488, HeapIdle: 122880, HeapInuse: 12099584
HeapAlloc: 11769624, HeapIdle: 40960, HeapInuse: 12181504
HeapAlloc: 11855760, HeapIdle: 4145152, HeapInuse: 12271616
HeapAlloc: 11941896, HeapIdle: 4063232, HeapInuse: 12353536
HeapAlloc: 12028032, HeapIdle: 3981312, HeapInuse: 12435456
HeapAlloc: 12114168, HeapIdle: 3891200, HeapInuse: 12525568
HeapAlloc: 12200304, HeapIdle: 3809280, HeapInuse: 12607488
HeapAlloc: 12286440, HeapIdle: 3719168, HeapInuse: 12697600
HeapAlloc: 12372576, HeapIdle: 3637248, HeapInuse: 12779520
HeapAlloc: 12458712, HeapIdle: 3555328, HeapInuse: 12861440
HeapAlloc: 12544848, HeapIdle: 3465216, HeapInuse: 12951552
HeapAlloc: 12630984, HeapIdle: 3375104, HeapInuse: 13041664
HeapAlloc: 12717120, HeapIdle: 3276800, HeapInuse: 13139968
HeapAlloc: 12803256, HeapIdle: 3194880, HeapInuse: 13221888
HeapAlloc: 12889392, HeapIdle: 3112960, HeapInuse: 13303808
HeapAlloc: 12975528, HeapIdle: 3031040, HeapInuse: 13385728
HeapAlloc: 13061664, HeapIdle: 2940928, HeapInuse: 13475840
HeapAlloc: 13147800, HeapIdle: 2859008, HeapInuse: 13557760
HeapAlloc: 13233936, HeapIdle: 2777088, HeapInuse: 13639680
HeapAlloc: 13320072, HeapIdle: 2695168, HeapInuse: 13721600
HeapAlloc: 13406208, HeapIdle: 2613248, HeapInuse: 13803520
HeapAlloc: 13492344, HeapIdle: 2531328, HeapInuse: 13885440
HeapAlloc: 13578480, HeapIdle: 2433024, HeapInuse: 13983744
HeapAlloc: 13664616, HeapIdle: 2342912, HeapInuse: 14073856
HeapAlloc: 13750752, HeapIdle: 2260992, HeapInuse: 14155776
HeapAlloc: 13836888, HeapIdle: 2170880, HeapInuse: 14245888
HeapAlloc: 13923024, HeapIdle: 2080768, HeapInuse: 14336000
HeapAlloc: 14009160, HeapIdle: 1998848, HeapInuse: 14417920
HeapAlloc: 14095296, HeapIdle: 1900544, HeapInuse: 14516224
HeapAlloc: 14181432, HeapIdle: 1810432, HeapInuse: 14606336
HeapAlloc: 14267568, HeapIdle: 1720320, HeapInuse: 14696448
HeapAlloc: 14353704, HeapIdle: 1638400, HeapInuse: 14778368
HeapAlloc: 14439840, HeapIdle: 1540096, HeapInuse: 14876672
HeapAlloc: 14525976, HeapIdle: 1449984, HeapInuse: 14966784
HeapAlloc: 14612112, HeapIdle: 1368064, HeapInuse: 15048704
HeapAlloc: 14698248, HeapIdle: 1286144, HeapInuse: 15130624
HeapAlloc: 14784384, HeapIdle: 1204224, HeapInuse: 15212544
HeapAlloc: 14870520, HeapIdle: 1122304, HeapInuse: 15294464
HeapAlloc: 14956656, HeapIdle: 1040384, HeapInuse: 15376384
HeapAlloc: 15042792, HeapIdle: 950272, HeapInuse: 15466496
HeapAlloc: 15128928, HeapIdle: 868352, HeapInuse: 15548416
HeapAlloc: 15215064, HeapIdle: 786432, HeapInuse: 15630336
HeapAlloc: 15301200, HeapIdle: 704512, HeapInuse: 15712256
HeapAlloc: 15387336, HeapIdle: 622592, HeapInuse: 15794176
HeapAlloc: 15473472, HeapIdle: 532480, HeapInuse: 15884288
HeapAlloc: 15559608, HeapIdle: 442368, HeapInuse: 15974400
HeapAlloc: 15645744, HeapIdle: 360448, HeapInuse: 16056320
HeapAlloc: 15731880, HeapIdle: 262144, HeapInuse: 16154624
HeapAlloc: 15818016, HeapIdle: 180224, HeapInuse: 16236544
HeapAlloc: 15904152, HeapIdle: 98304, HeapInuse: 16318464
HeapAlloc: 15990288, HeapIdle: 0, HeapInuse: 16416768
HeapAlloc: 16076408, HeapIdle: 4104192, HeapInuse: 16506880
HeapAlloc: 16162544, HeapIdle: 4022272, HeapInuse: 16588800
HeapAlloc: 16248680, HeapIdle: 3940352, HeapInuse: 16670720
HeapAlloc: 16334816, HeapIdle: 3858432, HeapInuse: 16752640
HeapAlloc: 16420952, HeapIdle: 3776512, HeapInuse: 16834560
HeapAlloc: 16507088, HeapIdle: 3686400, HeapInuse: 16924672
HeapAlloc: 16593224, HeapIdle: 3604480, HeapInuse: 17006592
HeapAlloc: 16679360, HeapIdle: 3506176, HeapInuse: 17104896
HeapAlloc: 16765496, HeapIdle: 3424256, HeapInuse: 17186816
HeapAlloc: 16851632, HeapIdle: 3334144, HeapInuse: 17276928
HeapAlloc: 16937768, HeapIdle: 3252224, HeapInuse: 17358848
HeapAlloc: 17023904, HeapIdle: 3162112, HeapInuse: 17448960
